code,lat,lon,SPR
40008,55.895115,-4.3269398,1.071339565
40012,55.877734,-4.288552,0.658238222
40027,55.921284,-4.3346866,0.607837772
40031,55.866756,-4.2892646,0.643971416
40046,55.912802,-4.4054998,1.799946639
40051,55.891317,-4.3319583,0.843074702
40065,55.92468,-4.4593655,0.847531943
40070,55.871085,-4.3047852,1.243410889
40084,55.8854,-4.3622743,1.143067758
40101,55.916551,-4.322143,0.506956551
40121,55.872485,-4.3235394,0.947441138
40140,55.87902,-4.3010027,0.607959001
40154,55.871232,-4.2713052,0.773995061
40173,55.939621,-4.3183835,0.78099639
40188,55.877667,-4.3065822,0.589684797
40192,55.871269,-4.3055314,0.929605832
40210,55.874605,-4.3397486,0.71495653
40224,55.912802,-4.4054998,1.253615061
40239,55.918105,-4.3316786,0.653541229
40262,55.912802,-4.4054998,1.116194412
40277,55.871125,-4.3146663,0.987162396
40281,55.906075,-4.3550518,1.023866811
40296,55.870964,-4.3097973,0.923639648
40328,55.866756,-4.2892646,0.902938046
40332,55.894436,-4.3385754,1.352996811
40351,55.878611,-4.305583,0.544805208
40385,55.94221,-4.3154476,0.688003161
40390,55.897109,-4.3703124,1.30278561
40402,55.918105,-4.3316786,0.700829747
40417,55.874452,-4.3392599,1.214504413
40421,55.909777,-4.3710215,1.812938845
40436,55.909777,-4.3710215,1.828361214
40441,55.868986,-4.270263,0.646165789
40455,55.864322,-4.2838154,0.981380472
40460,55.873968,-4.2837263,1.06429672
40493,55.88625,-4.3610786,1.120194872
40525,55.889156,-4.3814061,1.584098816
40544,55.909777,-4.3710215,1.76175962
40559,55.909777,-4.3710215,2.77420081
40563,55.87796,-4.3485521,1.60759438
40578,55.882785,-4.3598928,1.407956605
40582,55.912802,-4.4054998,1.289251763
40629,55.875322,-4.340799,0.867678252
40691,55.912802,-4.4054998,1.317765723
40703,55.912802,-4.4054998,0.840574139
40718,55.87415,-4.2937125,1.106086256
40722,55.909777,-4.3710215,3.331390061
43011,55.890242,-4.2876893,1.72572325
43030,55.939255,-4.1610831,0.753959896
43044,55.939371,-4.1554851,0.953976955
43059,55.904197,-4.2211254,0.856489678
43063,55.882674,-4.2289616,1.12571514
43082,55.875406,-4.2647706,1.080593659
43097,55.882674,-4.2289616,1.02363888
43100,55.936247,-4.157313,0.824510162
43114,55.939204,-4.1598793,1.260508974
43129,55.882674,-4.2289616,1.230930269
43133,55.876303,-4.2274453,1.656856166
43167,55.875406,-4.2647706,1.077632545
43171,55.904197,-4.2211254,0.857841337
43186,55.875406,-4.2647706,0.809655884
43191,55.875406,-4.2647706,1.302040909
43203,55.875788,-4.2718271,1.567627474
43218,55.875406,-4.2647706,1.428901827
43222,55.897998,-4.2160202,0.852510558
43237,55.88113,-4.2540077,2.104265128
43256,55.88113,-4.2540077,1.36780842
43261,55.974497,-4.2019787,1.227860166
43275,55.892292,-4.2014128,1.228865975
43294,55.885446,-4.2514436,1.698535789
