IZ,name,Z,E,income,pm25,smr
S02002465,IZ06,234,168.4836559,24.16666667,5.739919,1.388858752
S02002466,IZ07,183,171.2153477,10.66666667,5.060317413,1.068829415
S02002467,IZ08,311,201.7707165,26.42857143,5.89432425,1.5413535
S02002468,IZ09,172,178.3866181,9,5.77665875,0.964197886
S02002469,IZ10,143,150.7443351,7.666666667,4.914350488,0.948626029
S02002470,IZ11,188,165.5734187,17.14285714,5.601634,1.135447957
S02002471,IZ12,297,254.4154032,8.5,5.283184,1.167382149
S02002472,IZ13,265,196.9415231,22.5,5.02364875,1.345577082
S02002473,IZ14,226,171.0549392,12.57142857,4.878243501,1.321212945
S02002474,IZ15,213,190.9914589,20.11111111,4.88553935,1.115233117
S02002475,IZ16,225,146.865312,20.4,5.2424835,1.532015947
S02002476,IZ17,272,223.757027,14.55555556,5.003149334,1.215604281
S02002477,IZ18,158,158.0440203,18.16666667,4.646081925,0.999721468
