IG,Y,E,pm10,smoke,ethnic
S02000678,121,91.653226,19.2,29,1.56
S02000679,135,119.745482,18.1,23.3,7.59
S02000680,84,82.226885,19.45,45.4,25.83
S02000681,65,81.991143,19,18.9,9.65
S02000682,73,89.231593,18.1,21.7,7.59
S02000683,60,65.997681,19.2,28.5,16.05
S02000684,139,89.642711,18.1,35.1,16.77
S02000685,156,102.859485,19.6,48.3,3.33
S02000686,129,114.390778,18.2,22.9,15.14
S02000687,114,97.304673,19,40.8,6.75
S02000688,156,112.820086,18.3,38.7,9.35
S02000689,149,154.593327,17.7,18.9,10.61
S02000690,137,146.936998,18.2,16,16.35
S02000691,202,153.952961,18.5,39.7,1.83
S02000692,229,164.097111,18.45,41.8,2.19
S02000693,138,122.558934,18.2,39.1,2.49
S02000694,144,96.659149,18.7,41.6,6.83
S02000695,59,74.604575,18.3,28.2,11.49
S02000696,72,68.307158,17.3,42.1,4.4
S02000697,166,118.913932,18.45,39.4,1.14
S02000698,127,107.396261,17.7,31,15.96
S02000699,145,135.70537,17.4,30.8,4.63
S02000700,82,76.798065,17.5,39.4,5.23
S02000701,148,126.889651,17.5,39.7,1.48
S02000702,98,111.959957,17.7,22.8,16.8
S02000703,97,105.486379,17,34.6,5.08
S02000704,111,102.952851,17.4,36.9,1.02
S02000705,221,170.179187,17.3,26.5,6.51
S02000706,167,142.86735,17.2,29.9,6.93
S02000707,110,106.522972,17,33.4,3.06
S02000708,103,106.488704,17.7,40.2,0.8
S02000709,242,186.181255,17,33.2,2.18
S02000710,133,107.459061,17.1,34.6,3.57
S02000711,77,93.498866,16.7,31.9,2.84
S02000712,84,100.364743,16.9,39.9,1.77
S02000713,94,97.707418,16.9,35.8,2.74
S02000714,74,84.663908,16.5,47.8,1.38
S02000715,61,77.193178,16.7,51.9,0.95
S02000716,80,70.563723,16.5,49,1.91
S02000771,60,77.767188,13.5,13.6,6.95
S02000772,102,104.553451,13.2,19.5,3.95
S02000773,71,101.102267,13.1,22.9,2.65
S02000774,146,133.124719,13.5,42.6,0.24
S02000775,155,145.516458,13.5,40.6,1.14
S02000776,185,143.150588,13.5,33.9,1.69
S02000777,119,113.508764,13.6,27.7,1.89
S02000778,158,113.334958,13.55,41.2,1.1
S02000779,141,126.194317,13.9,30.6,1.68
S02000780,159,124.693719,13.7,37.7,2.08
S02000781,261,192.01672,13.6,38,1.83
S02000782,128,103.275102,13.75,33.6,1.67
S02000783,145,131.699947,13.9,30.1,2.29
S02000784,149,156.565493,13.8,21.8,2.34
S02000785,134,135.541633,13.8,23.3,2.98
S02000786,133,135.048392,13.7,22.9,2.63
S02000787,178,192.215726,13.9,22.4,1.58
S02000923,168,136.755781,17.65,23.7,3.37
S02000925,101,95.888131,17.65,24.1,3.08
S02000926,99,97.273994,17.8,31.2,0.2
S02000927,61,61.194841,17.65,30.8,0.91
S02000983,70,81.372934,13.7,22.2,1.78
S02000984,75,76.346054,13.8,22.5,0.81
S02000985,98,128.701273,15.8,27.7,0.81
S02000986,74,90.970866,15.8,28.6,0.73
S02000987,140,157.115217,15.3,35.6,1.17
S02000988,162,143.500199,14.9,33,0.69
S02000989,65,91.399026,16.1,25.6,1.48
S02000990,127,134.885993,15.7,22.9,1.99
S02000991,226,198.604585,16.1,25.7,1.65
S02000992,138,134.390345,15.4,29,0.79
S02000993,75,100.678596,16.3,26.5,1.5
S02000994,107,104.900253,15.1,28.8,0.38
S02000995,111,118.089438,15.7,26.2,1.96
S02000996,89,98.814752,14.8,19.1,1.14
S02000997,124,105.818711,16.5,30,2.53
S02000998,94,108.21951,15.85,27.9,0.52
S02000999,148,142.237273,16,26,3.04
S02001000,165,160.976516,16.6,33.5,4.86
S02001001,103,90.024849,16.3,31.8,4.48
S02001002,157,155.346679,17,15.7,2.89
S02001003,81,71.620015,16.35,45.1,1.21
S02001004,162,163.739765,17.1,24.9,3.33
S02001005,134,118.807137,15.2,34.3,1.48
S02001006,103,110.582696,15.2,34.9,1.15
S02001007,187,155.854405,17.3,35.4,3.35
S02001008,109,129.39561,13.8,16.1,1.13
S02001009,39,63.226562,14.6,14,4.36
S02001010,127,105.333151,16.5,38.3,2.73
S02001011,195,159.322502,17.2,21.1,4.63
S02001012,55,80.945015,14.25,13.4,3.4
S02001013,148,132.733672,17.6,22.5,7.37
S02001014,129,109.742056,17,34.2,2.24
S02001015,98,123.752359,14.2,18.9,1.21
S02001016,100,87.379895,17.25,33.8,1.94
S02001017,95,112.315385,15.7,21.7,2.76
S02001018,129,125.53465,15.35,19.1,2.65
S02001019,171,139.148188,15.2,22.3,1.29
S02001020,109,119.034593,14.6,15,0.27
S02001146,115,102.698234,17.7,29.6,1.59
S02001148,61,78.21557,17.55,29.4,1.44
S02001149,152,133.910228,17.2,27.6,0.67
S02001150,146,139.912688,17.7,27.7,1.74
S02001152,109,107.763875,18.3,26.8,3.16
S02001153,116,117.07161,18,26.1,1.57
S02001154,105,101.093539,18.1,22.9,2.63
S02001156,78,79.169297,17.7,27.5,2.4
S02001157,69,71.511473,17.8,28.2,3.11
S02001158,78,84.710243,18.3,25.9,5.06
S02001159,165,157.211865,18.1,21.6,3.1
S02001160,118,110.171265,18.7,30.2,1.63
S02001161,114,111.997174,18.6,27.2,7.14
S02001162,114,102.557921,18.4,28.6,3.36
S02001184,129,107.353582,16.6,40.2,0.5
S02001185,118,108.691071,15.9,40.6,2.07
S02001186,188,146.662238,16.4,35.4,1.2
S02001187,165,166.589909,16,30.6,0.66
S02001188,205,162.919584,15.7,39.9,0.97
S02001189,94,105.969356,15.95,30.2,0.65
S02001190,101,117.139938,15.45,26.1,0.88
S02001191,124,104.570728,15.65,40,2.76
S02001192,158,165.771152,14.5,25.7,1.41
S02001193,100,111.59561,14.5,27.5,1.15
S02001194,131,131.237153,14.7,27.8,1.7
S02001195,171,133.916301,13.9,37.6,0.58
S02001196,138,117.820877,14.6,33.9,1.32
S02001197,89,95.527893,14.3,34,0.8
S02001198,137,137.933086,14.1,33.9,1.7
S02001199,110,101.47576,13.8,32.9,1.31
S02001200,152,160.154746,13.8,32.9,0.54
S02001201,142,137.368442,13.1,30.2,1.27
